"ORDEN","CLASE","MARCA","MODELO","FECHA MATRICULA/RADICACION","AÑO","MES","DIA"
"247","MOTOCICLETA","HONDA","2000","26/05/2000","2000","05.mayo","26.viernes"
"248","AUTOMOVIL","RENAULT","1994","12/02/2000","2000","02.febrero","12.sábado"
"249","AUTOMOVIL","CHEVROLET","1991","10/04/2000","2000","04.abril","10.lunes"
"250","MOTOCICLETA","SUZUKI","2000","13/03/2000","2000","03.marzo","13.lunes"
"251","MOTOCICLETA","SUZUKI","2001","11/12/2000","2000","12.diciembre","11.lunes"
"252","CAMION","CHEVROLET","1983","24/10/2000","2000","10.octubre","24.martes"
"253","CAMPERO","WILLYS","1972","31/10/2000","2000","10.octubre","31.martes"
"254","CAMPERO","WILLYS","1959","08/02/2000","2000","02.febrero","08.martes"
"255","BUSETA","NON PLUS ULTRA","2000","18/04/2000","2000","04.abril","18.martes"
"256","MOTOCICLETA","SUZUKI","2000","17/02/2000","2000","02.febrero","17.jueves"
"257","MOTOCICLETA","SUZUKI","1998","14/09/2000","2000","09.septiembre","14.jueves"
"258","MOTOCICLETA","YAMAHA","1999","07/01/2000","2000","01.enero","07.viernes"
"259","MOTOCICLETA","YAMAHA","1999","14/08/2000","2000","08.agosto","14.lunes"
"260","MOTOCICLETA","SUZUKI","2001","08/09/2000","2000","09.septiembre","08.viernes"
"261","CAMIONETA","MAZDA","2000","07/04/2000","2000","04.abril","07.viernes"
"262","CAMIONETA","MAZDA","2000","03/04/2000","2000","04.abril","03.lunes"
"263","MOTOCICLETA","YAMAHA","2000","12/01/2000","2000","01.enero","12.miércoles"
"264","AUTOMOVIL","MAZDA","1996","27/01/2000","2000","01.enero","27.jueves"
"265","MOTOCICLETA","SUZUKI","2000","24/07/2000","2000","07.julio","24.lunes"
"266","AUTOMOVIL","CHEVROLET","1996","07/06/2000","2000","06.junio","07.miércoles"
"267","MOTOCICLETA","YAMAHA","1999","19/01/2000","2000","01.enero","19.miércoles"
"268","CAMIONETA","MAZDA","2000","29/03/2000","2000","03.marzo","29.miércoles"
"269","MOTOCICLETA","HONDA","1996","06/10/2000","2000","10.octubre","06.viernes"
"270","AUTOMOVIL","HYUNDAI","2000","29/09/2000","2000","09.septiembre","29.viernes"
"271","MOTOCICLETA","YAMAHA","1995","29/05/2000","2000","05.mayo","29.lunes"
"272","AUTOMOVIL","MAZDA","2000","21/01/2000","2000","01.enero","21.viernes"
"273","AUTOMOVIL","MAZDA","1990","18/04/2000","2000","04.abril","18.martes"
"274","MOTOCICLETA","YAMAHA","1995","10/04/2000","2000","04.abril","10.lunes"
"275","CAMIONETA","FORD","1995","05/09/2000","2000","09.septiembre","05.martes"
"276","CAMIONETA","DODGE","1974","03/11/2000","2000","11.noviembre","03.viernes"
